"","date","FBCF","PIB","POUP","NFSP","TT","WP","ER","IR","IBOV","EMBI","LINF","LAGR","LIND","LCOM","LTOT","IIE","ICI","ICE","CURI","CIB"
"55",2007-05-01,250321.303931496,1407115.21189138,273022.223943231,-3.45,100.43,98.2845857437376,92.5,8.9649156813336,51226.5,147.652173913043,1657.28583899837,2381.94873639652,494.177401891003,678.173521512693,5236.84774261773,96.8,111.8,110.5,83.1,93.91
"56",2007-06-01,252092.608653418,1410362.14809092,272235.001948733,-3.39,100.6,98.3789448913249,90.12,8.04320570932589,53645.5,147.095238095238,2073.57463433417,2091.18602862831,413.295377060955,541.729013505841,5271.21563408973,89.3,111.2,110.2,83.6,92.03
"57",2007-07-01,253526.515549472,1411575.33204715,271632.68076272,-3.4,100.62,98.7279902705222,88.84,7.70194717563137,56200.0476190476,168.863636363636,1769.87950278308,3417.15667402492,485.214426065473,562.614160424052,6218.08840464555,88.4,113,113,83.7,91.58
"58",2007-08-01,255363.102014832,1412592.16861225,271231.480682971,-3.24,101.53,99.4953781943336,92.25,6.95910923401806,52162.8260869565,201.391304347826,2228.33806888011,2520.01230553198,340.921390945573,528.186076579831,5543.51376180979,96.2,112.7,113.2,83.5,93.84
"59",2007-09-01,259179.321421329,1421855.43169394,272458.428458712,-3.21,102.47,99.6034316080995,89.92,6.78828612578013,56362.1578947368,191.1,2250.19715140393,1324.77363571757,324.974757140844,1231.58547628311,5103.82891022077,96.2,113.1,114.5,83.9,94.42
"60",2007-10-01,263768.475651932,1433088.87535494,274242.263280951,-3.24,104.75,100.293579239522,86.17,6.78063772570112,62680.9090909091,169.913043478261,3573.87876561821,2377.76834170833,500.788223669916,899.291952550137,7403.3758571736,97.2,114.8,114.8,84.6,92.96
"61",2007-11-01,268302.766793477,1446235.93105081,277018.681638373,-3.34,102.67,100.521519749238,86.19,6.70889720702561,62447.9473684211,211.772727272727,2309.68339379883,2204.93112469346,383.157871120724,737.221657018031,5563.65568522756,96.3,113.9,111,84.6,92.79
"62",2007-12-01,271887.202943355,1457652.88661372,280238.96136491,-3.24,103.7,101.142434800068,86.66,6.43308443423318,63469.6666666667,215.1,2397.56131129718,1568.63141981358,446.826676047722,558.404473551565,4920.29478379401,92.1,114.4,109.1,84.8,93.82
"63",2008-01-01,276125.202479109,1475211.90913088,285347.463917647,-3.39,105.85,101.984151621271,86.19,6.33129303749043,59645.2380952381,244.04347826087,2286.99385137131,2857.7825221552,399.04785807946,670.917311680943,6067.19659081827,99.3,113.5,107.3,85.5,98
"64",2008-02-01,280800.477939363,1492455.82110949,291013.287217943,-3.43,102.24,102.029681903915,85.36,6.28047031832519,62536.2631578947,256.809523809524,2222.94287085976,3115.28785672233,430.013188592768,654.681385834307,6471.53203125499,98,113.7,109.7,85.1,103.45
"65",2008-03-01,285253.472932812,1506912.06947475,296141.79850624,-3.63,101.35,101.747626116676,86.32,6.15869378401603,60653.4547642906,276.25,3362.29649505482,4034.4489589027,470.537196368592,1061.5158699601,8973.41430592406,97.4,112.3,112.2,85.5,105.36
"66",2008-04-01,288930.11322874,1517931.4072512,299440.073908272,-3.61,99.77,101.92715353809,85.97,6.02627570449352,65176.9610131614,244.045454545455,4244.77146102972,5441.49004658369,512.068237472007,682.340067943371,10919.7900837625,95.1,112.1,112,85.2,105.34
"67",2008-05-01,293934.997814781,1527012.23047255,301289.867894459,-3.6,104.79,101.369332435047,84.12,5.73025194165562,71209.75,205.090909090909,3921.35186207007,2724.85761881923,494.279578629763,682.990931692885,7959.03297544655,92.3,113,112,84.6,106.03
"68",2008-06-01,301021.812272391,1540024.53803551,302099.912258942,-3.62,106.81,101.234862760988,82.11,5.6854610597775,67235.4285714286,195.238095238095,2399.82575139872,1537.81128478342,503.634509300331,756.874514597084,5279.31802885393,91.9,114.6,114.1,84.8,107.75
"69",2008-07-01,309503.217227921,1556804.98296084,302150.35591083,-3.72,108,100.935165391901,81.06,5.63128701701605,59770.0909090909,232.304347826087,1872.23409015403,2357.11855569425,519.960774439349,1604.17732819699,6429.49281597716,92.4,113.8,113.7,85.4,104.94
"70",2008-08-01,313486.452584799,1565438.58073004,300622.06002217,-3.76,111.23,100.050504931096,80.55,6.35772817179994,55456.0476190476,236,3354.02322604866,2600.1192675965,348.969045479551,801.213632082004,7056.55723715444,90.5,114.1,116,85.2,97.28
"71",2008-09-01,311307.840388687,1559555.35873747,296275.277258099,-3.85,108.91,99.1297343276991,87.61,6.72000000000001,50594.5454545455,289,3302.72740038579,3846.25086716068,302.704735422446,1138.96341918377,8438.51725912059,98.7,111.9,111.4,84.6,102.22
"72",2008-10-01,303173.534371696,1540068.18597598,288455.554684412,-3.98,111.51,97.9036939774758,100.24,6.81326942956488,38142.8260869565,491.045454545455,3931.09895805625,4021.58942691146,438.57269800513,991.736830072319,9351.2346096994,132.4,102.2,100.9,83.9,102.97
